Codice,Descrizione,Fonte_AS400,Quantita_AS400,Quantita_WebApp,Differenza,Status,Magazzino_Web,Stato,Ubicazione,Note
95822,LOGITECH SPEAKERS S150 USB,Magazzino_28_Deposito,1,16,15,⚠️ WEBAPP +15,farmacia,"1, in_magazzino","11D, spedito",
94997,STAMPANTE FISCALE EPSON FP-81II,Magazzino_28_Deposito,21,31,10,⚠️ WEBAPP +10,farmacia,"baia_uscita, in_magazzino, laboratorio","-, 13D, 2B, 2C",Guasta chiamare Epson | Monticelli (ufficio Mirko)
95828,THINKCENTRE NEO 50Q,Magazzino_28_Deposito,35,41,6,⚠️ WEBAPP +6,farmacia,"1, 3, 4, baia_uscita","13C, 3E, baia_uscita, in_preparazi, spedito",Libarna (GUASTO)
96219,PC LENOVO M720Q REFURBISHED,Magazzino_28_Deposito,21,24,3,⚠️ WEBAPP +3,farmacia,in_magazzino,"10C, 15c",(fisicamente 19 - in arrivo i 3 mancanti)
94910,MULTIMEDS - ETICHETTA (240 PZ.),Magazzino_28_Deposito,3,5,2,⚠️ WEBAPP +2,farmacia,altro,6B,
96075,MONITOR LENOVO C24-40,Magazzino_28_Deposito,19,21,2,⚠️ WEBAPP +2,farmacia,in_magazzino,"14C, 4C, 6D",
96081,SCHEDA GRAFICA GEFORCE GT 1030,Magazzino_28_Deposito,3,5,2,⚠️ WEBAPP +2,farmacia,"1, in_preparazi","8B, spedito",
95508,LETTORE HONEYWELL 1470G 2D,Magazzino_28_Deposito,29,30,1,⚠️ WEBAPP +1,farmacia,"5, 7, in_magazzino","11B, spedito",
96010,,Solo_WebApp,0,1,1,⚠️ WEBAPP +1,farmacia,altro,9B,*sono due RAM da 16gb
245,SCANNER MANUALE CANON DR-M140II,Magazzino_28_Deposito,1,1,0,✅ ALLINEATO,farmacia,in_magazzino,10D,
564,SCHEDA SERIALE 2 PORTE PCI,Magazzino_28_Deposito,1,1,0,✅ ALLINEATO,farmacia,in_magazzino,9B,
94308,CASSETTE ULTRIUM LTO,Magazzino_27_Grossisti,10,10,0,✅ ALLINEATO,grossisti,in_magazzino,9D,
