Codice,Descrizione,Fonte_AS400,Quantita_AS400,Quantita_WebApp,Differenza,Status,Magazzino_Web,Stato,Ubicazione,Note
95413,,Solo_WebApp,0,1245,1245,⚠️ WEBAPP +1245,farmacia,"baia_uscita, in_magazzino","-, 15A",*Luparelli guaste da smaltire
95950,,Solo_WebApp,0,92,92,⚠️ WEBAPP +92,farmacia,"baia_uscita, in_magazzino","-, 6B",*Luparelli guaste da smaltire | *batteria per etichette ID.TAG
95757,,Solo_WebApp,0,68,68,⚠️ WEBAPP +68,farmacia,in_magazzino,12A,
95987,,Solo_WebApp,0,66,66,⚠️ WEBAPP +66,grossisti,in_magazzino,1B,
95778,,Solo_WebApp,0,62,62,⚠️ WEBAPP +62,grossisti,in_magazzino,"1C, 1E, 1F",
95547,,Solo_WebApp,0,57,57,⚠️ WEBAPP +57,grossisti,in_magazzino,12A,
95650,,Solo_WebApp,0,48,48,⚠️ WEBAPP +48,grossisti,"baia_uscita, in_magazzino","-, 13B",*Nelly
95140,,Solo_WebApp,0,46,46,⚠️ WEBAPP +46,farmacia,in_magazzino,15B,da 8mm - nella stessa ubicazione presenti le clip
95649,,Solo_WebApp,0,43,43,⚠️ WEBAPP +43,grossisti,"baia_uscita, in_magazzino","-, 13A",*Nelly
95653,,Solo_WebApp,0,43,43,⚠️ WEBAPP +43,grossisti,"baia_uscita, in_magazzino","-, 13A",*Nelly
95652,,Solo_WebApp,0,42,42,⚠️ WEBAPP +42,grossisti,"baia_uscita, in_magazzino","-, 13A",*Nelly
95638,,Solo_WebApp,0,41,41,⚠️ WEBAPP +41,farmacia,"1, 5, baia_uscita, in_magazzino","-, 14E, 4E, 8c, IN_PREPARAZI, SPEDITO, in_preparazi",*Rotti | *rotto
95803,,Solo_WebApp,0,39,39,⚠️ WEBAPP +39,farmacia,"1, 2, 3, baia_uscita, in_magazzino, in_preparazi","10D, BAIA_USCITA, IN_PREPARAZI, altro, baia_uscita, in_preparazi",*Farmacia Parise | *GUASTO (ufficio Mirko)
94906,,Solo_WebApp,0,33,33,⚠️ WEBAPP +33,farmacia,in_magazzino,6B,VENDIBILI SOLO 25
95745,,Solo_WebApp,0,33,33,⚠️ WEBAPP +33,grossisti,in_magazzino,"1D, 5C",
96215,,Solo_WebApp,0,33,33,⚠️ WEBAPP +33,farmacia,"1, in_magazzino","2E, 4D, in_preparazi, in_utilizzo",
95774,,Solo_WebApp,0,29,29,⚠️ WEBAPP +29,grossisti,in_magazzino,"1A, 1C",
95632,,Solo_WebApp,0,23,23,⚠️ WEBAPP +23,grossisti,in_magazzino,2B,
95183,,Solo_WebApp,0,22,22,⚠️ WEBAPP +22,farmacia,in_magazzino,11D,
